date,base,symbol,rate
2025-09-29,USD,MXN,18.3383
2025-09-30,USD,MXN,18.3383
2025-09-30,USD,JPY,147.99
2025-09-30,USD,GBP,0.74389
2025-09-30,USD,EUR,0.85172
2025-09-30,USD,BRL,5.3174
2025-10-01,USD,BRL,5.3108
2025-10-01,USD,EUR,0.85295
2025-10-01,USD,GBP,0.74241
2025-10-01,USD,JPY,147.11
2025-10-01,USD,MXN,18.2651
2025-10-02,USD,MXN,18.3708
2025-10-02,USD,JPY,146.78
2025-10-02,USD,GBP,0.74196
2025-10-02,USD,EUR,0.85077
2025-10-02,USD,BRL,5.3124
2025-10-03,USD,BRL,5.3411
2025-10-03,USD,EUR,0.85222
2025-10-03,USD,GBP,0.74365
2025-10-03,USD,JPY,147.35
2025-10-03,USD,MXN,18.4072
2025-10-06,USD,MXN,18.4167
2025-10-06,USD,JPY,150.04
2025-10-06,USD,EUR,0.85631
2025-10-06,USD,GBP,0.74456
2025-10-06,USD,BRL,5.3423
2025-10-07,USD,BRL,5.3283
2025-10-07,USD,EUR,0.85719
2025-10-07,USD,GBP,0.74601
2025-10-07,USD,JPY,150.91
2025-10-07,USD,MXN,18.3662
2025-10-08,USD,MXN,18.39
2025-10-08,USD,JPY,152.69
2025-10-08,USD,GBP,0.74576
2025-10-08,USD,EUR,0.86007
2025-10-08,USD,BRL,5.3572
2025-10-09,USD,BRL,5.3292
2025-10-09,USD,EUR,0.86125
2025-10-09,USD,GBP,0.74783
2025-10-09,USD,JPY,152.79
2025-10-09,USD,MXN,18.3171
2025-10-10,USD,MXN,18.3748
2025-10-10,USD,JPY,152.54
2025-10-10,USD,EUR,0.86445
2025-10-10,USD,BRL,5.3667
2025-10-10,USD,GBP,0.75285
2025-10-13,USD,BRL,5.4753
2025-10-13,USD,EUR,0.86438
2025-10-13,USD,GBP,0.75002
2025-10-13,USD,JPY,152.11
2025-10-13,USD,MXN,18.5098
2025-10-14,USD,BRL,5.4995
2025-10-14,USD,EUR,0.86558
2025-10-14,USD,GBP,0.75409
2025-10-14,USD,JPY,152.1
2025-10-14,USD,MXN,18.6038
2025-10-15,USD,JPY,151.55
2025-10-15,USD,GBP,0.74901
2025-10-15,USD,MXN,18.4564
2025-10-15,USD,BRL,5.4638
2025-10-15,USD,EUR,0.86044
2025-10-16,USD,GBP,0.74478
2025-10-16,USD,JPY,151.28
2025-10-16,USD,BRL,5.448
2025-10-16,USD,EUR,0.85844
2025-10-16,USD,MXN,18.4351
